,date,localName
0,2020-01-01,Año Nuevo
1,2020-04-10,Viernes Santo
2,2020-04-11,Sábado Santo
3,2020-05-01,Día del Trabajo
4,2020-05-21,Día de las Glorias Navales
5,2020-06-07,Asalto y Toma del Morro de Arica
6,2020-06-26,San Pedro y San Pablo
7,2020-07-16,Virgen del Carmen
8,2020-08-10,San Lorenzo de Tarapacá
9,2020-08-10,Día del Minero
10,2020-08-15,Asunción de la Virgen
11,2020-09-18,Fiestas Patrias
12,2020-09-19,Día de las Glorias del Ejército
13,2020-09-20,Feast of La Pampilla
14,2020-09-21,Toma de posesión del estrecho de Magallanes
15,2020-10-02,Aniversario de la Creación de la XIV Región de Los Ríos
16,2020-10-09,Día del Descubrimiento de Dos Mundos
17,2020-10-27,Día Nacional de las Iglesias Evangélicas y Protestantes
18,2020-11-01,Día de Todos los Santos
19,2020-11-19,"Elecciones presidencial, congresistas y regionales"
20,2020-12-08,Inmaculada Concepción
21,2020-12-25,Navidad / Natividad del Señor
22,2021-01-01,Año Nuevo
23,2021-04-02,Viernes Santo
24,2021-04-03,Sábado Santo
25,2021-05-01,Día del Trabajo
26,2021-05-21,Día de las Glorias Navales
27,2021-06-07,Asalto y Toma del Morro de Arica
28,2021-06-26,San Pedro y San Pablo
29,2021-07-16,Virgen del Carmen
30,2021-08-10,San Lorenzo de Tarapacá
31,2021-08-10,Día del Minero
32,2021-08-15,Asunción de la Virgen
33,2021-09-18,Fiestas Patrias
34,2021-09-19,Día de las Glorias del Ejército
35,2021-09-20,Feast of La Pampilla
36,2021-09-21,Toma de posesión del estrecho de Magallanes
37,2021-10-02,Aniversario de la Creación de la XIV Región de Los Ríos
38,2021-10-09,Día del Descubrimiento de Dos Mundos
39,2021-10-27,Día Nacional de las Iglesias Evangélicas y Protestantes
40,2021-11-01,Día de Todos los Santos
41,2021-11-19,"Elecciones presidencial, congresistas y regionales"
42,2021-12-08,Inmaculada Concepción
43,2021-12-25,Navidad / Natividad del Señor
44,2022-01-01,Año Nuevo
45,2022-04-15,Viernes Santo
46,2022-04-16,Sábado Santo
47,2022-05-01,Día del Trabajo
48,2022-05-21,Día de las Glorias Navales
49,2022-06-07,Asalto y Toma del Morro de Arica
50,2022-06-26,San Pedro y San Pablo
51,2022-07-16,Virgen del Carmen
54,2022-08-15,Asunción de la Virgen
55,2022-09-18,Fiestas Patrias
56,2022-09-19,Día de las Glorias del Ejército
59,2022-10-02,Aniversario de la Creación de la XIV Región de Los Ríos
60,2022-10-09,Día del Descubrimiento de Dos Mundos
61,2022-10-27,Día Nacional de las Iglesias Evangélicas y Protestantes
62,2022-11-01,Día de Todos los Santos
63,2022-11-19,"Elecciones presidencial, congresistas y regionales"
64,2022-12-08,Inmaculada Concepción
65,2022-12-25,Navidad / Natividad del Señor
